Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
11/28/23,KING SOOPERS        WESTMINSTER         CO,46.64,"999999933328774154647
GROCERY STORES
KING SOOPERS
WESTMINSTER
CO
GROCERY STORES
8774154647",KING SOOPERS        WESTMINSTER         CO,9983 WADSWORTH PKWY,"WESTMINSTER
CO",80030,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
11/27/23,AplPay 4220 DOS TOROEAST ELMHURST       NY,15.19,"73011003332998426122805     11371
AplPay 4220 DOS TOROS 068880021662247
EAST ELMHURST
NY
998426122805     11371",AplPay 4220 DOS TOROEAST ELMHURST       NY,TERMINAL B,"FLUSHING
NY",11371,UNITED STATES,3.20233E+17,Restaurant-Restaurant
11/27/23,AplPay 6331120 - BARQUEENS              NY,5.79,"RESTAURANT
AplPay 6331120 - BAR 212 46449
QUEENS
NY
RESTAURANT",AplPay 6331120 - BARQUEENS              NY,"TERMINAL
B 3RD FLOOR ROOM 3629","FLUSHING
NY",11371,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
11/27/23,AplPay LGA FIVE BOROAshburn             VA,6.52,"fc95ed7b361FC95ED7B36104582920174
AplPay LGA FIVE BOROUGHS 1586893007
Ashburn
VA
FC95ED7B36104582920174",AplPay LGA FIVE BOROAshburn             VA,TERMINAL B ROOM 3509,"FLUSHING
NY",11371,UNITED STATES,3.20233E+17,Business Services-Other Services
11/27/23,LGA IRVING FARM 1626Flushing            NY,11.85,"fb67194b84aFB67194B84A54653911371
LGA IRVING FARM 16264074002
Flushing
NY
FB67194B84A54653911371",LGA IRVING FARM 1626Flushing            NY,TERMINAL B ROOM 3509,"FLUSHING
NY",11371,UNITED STATES,3.20233E+17,Business Services-Other Services
11/27/23,WAL-MART SUPERCENTERWESTMINSTER         CO,11.66,"33310026688 DISCOUNT STORE
WAL-MART SUPERCENTER 2223 2223
WESTMINSTER
CO
DISCOUNT STORE",WAL-MART SUPERCENTERWESTMINSTER         CO,9499 SHERIDAN BLVD,"WESTMINSTER
CO",80031,UNITED STATES,3.20233E+17,Merchandise & Supplies-Wholesale Stores
11/25/23,AplPay CVS PHARMACY FOREST HILLS        NY,27.03,"10085448   8007467287
PHARMACIES
AplPay CVS PHARMACY
FOREST HILLS
NY
PHARMACIES
8007467287",AplPay CVS PHARMACY FOREST HILLS        NY,9715 METROPOLITAN AVE,"FOREST HILLS
NY",11375,UNITED STATES,3.20233E+17,Merchandise & Supplies-Pharmacies
11/25/23,CHICK-FIL-A #03482 0HICKSVILLE          NY,9.22,"000202409   5164336305
CHICK-FIL-A #03482 000000000564195
HICKSVILLE
NY
5164336305",CHICK-FIL-A #03482 0HICKSVILLE          NY,"1401 BROADWAY
MALL","HICKSVILLE
NY",11801,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
11/24/23,AplPay DUNKIN #35377FOREST HILLS        NY,11.52,"23241338005 516-472-7100
AplPay DUNKIN #353779 Q35 3537
FOREST HILLS
NY
Description : FAST FOOD RESTAURAN Price : 0.00
516-472-7100",AplPay DUNKIN #35377FOREST HILLS        NY,73-02 AUSTIN ST,"FOREST HILLS
NY",11375,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
11/24/23,AplPay STEPHEN GRILLREGO PARK           NY,11,"54300011    718-898-0963
AplPay STEPHEN GRILL 0000
REGO PARK
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-898-0963",AplPay STEPHEN GRILLREGO PARK           NY,6125 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
11/23/23,AplPay DUNKIN #35377FOREST HILLS        NY,7.94,"23231346165 516-472-7100
AplPay DUNKIN #353779 Q35 3537
FOREST HILLS
NY
Description : FAST FOOD RESTAURAN Price : 0.00
516-472-7100",AplPay DUNKIN #35377FOREST HILLS        NY,73-02 AUSTIN ST,"FOREST HILLS
NY",11375,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
11/23/23,AplPay MORTON WILLIANEW YORK            NY,19.98,"000041791   2123086922
AplPay MORTON WILLIAMS - GRAY 000000000579
NEW YORK
NY
2123086922",AplPay MORTON WILLIANEW YORK            NY,908 SECOND AVE,"NEW YORK
NY",10017,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
11/21/23,AplPay TST* BURRITO MIDDLE VILLAGE      NY,30.5,"21105173326 RESTAURANT
AplPay TST* BURRITO BLVD - MIDDL 00113595
MIDDLE VILLAGE
NY
RESTAURANT",AplPay TST* BURRITO MIDDLE VILLAGE      NY,7264 METROPOLITAN AVE,"MIDDLE VILLAGE
NY",11379,UNITED STATES,3.20233E+17,Restaurant-Restaurant
11/18/23,AplPay STARBUCKS STONEW YORK            NY,18.04,"D0B55304391 FAST FOOD RESTAURANT
AplPay STARBUCKS STORE 1773
NEW YORK
NY
FAST FOOD RESTAURANT",AplPay STARBUCKS STONEW YORK            NY,1301 AVE OF THE AMERICAS,"NEW YORK
NY",10019,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
11/17/23,AplPay VAN LEEUWEN INew York            NY,13.99,"J8wI7ecMMQR squareup.com/receipts
AplPay VAN LEEUWEN ICE CREAM - MACDOUGAL
New York
NY
squareup.com/receipts",AplPay VAN LEEUWEN INew York            NY,120 MACDOUGAL ST,"NEW YORK
NY",10012,UNITED STATES,3.20233E+17,Restaurant-Restaurant
11/13/23,MOBILE PAYMENT - THANK YOU,-175,"MOBILE PAYMENT - THANK YOU
",MOBILE PAYMENT - THANK YOU,,,,,3.20233E+17,
11/12/23,DD/BR #304484 Q35 30FLUSHING            NY,8.47,"23121221245 718-478-5407
DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",DD/BR #304484 Q35 30FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
11/12/23,Interest Charge on Pay Over Time Purchases,86.61,"Interest Charge on Pay Over Time Purchases
",Interest Charge on Pay Over Time Purchases,,,,,1.31113E+17,Fees & Adjustments-Fees & Adjustments
11/12/23,STEPHEN GRILL 0000  REGO PARK           NY,15,"54900004    718-898-0963
STEPHEN GRILL 0000
REGO PARK
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-898-0963",STEPHEN GRILL 0000  REGO PARK           NY,6125 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
11/11/23,AplPay DD/BR #304484FLUSHING            NY,9.47,"23111154385 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
11/11/23,STOP & SHOP         GLENDALE            NY,79.02,"805648     41               11385
STOP & SHOP
GLENDALE
NY
41               11385",STOP & SHOP         GLENDALE            NY,8989 UN TPKE,"GLENDALE
NY",11385,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
11/10/23,DD/BR #304484 Q35 30FLUSHING            NY,6.23,"23101305325 718-478-5407
DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",DD/BR #304484 Q35 30FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
11/5/23,AplPay CVS PHARMACY FOREST HILLS        NY,22.68,"10183038   8007467287
PHARMACIES
AplPay CVS PHARMACY
FOREST HILLS
NY
PHARMACIES
8007467287",AplPay CVS PHARMACY FOREST HILLS        NY,9715 METROPOLITAN AVE,"FOREST HILLS
NY",11375,UNITED STATES,3.20233E+17,Merchandise & Supplies-Pharmacies
11/5/23,AplPay DD/BR #304484FLUSHING            NY,10.47,"23051322205 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
11/4/23,AplPay TRADER JOE S REGO PARK           NY,6.94,"00006376020 6265993700
AplPay TRADER JOE S #557 000000557
REGO PARK
NY
6265993700",AplPay TRADER JOE S REGO PARK           NY,9030 METROPOLITAN AVE,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
11/4/23,AplPay TRADER JOE S REGO PARK           NY,51.78,"000184047756265993700
AplPay TRADER JOE S #557 000000557
REGO PARK
NY
6265993700",AplPay TRADER JOE S REGO PARK           NY,9030 METROPOLITAN AVE,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
11/1/23,AplPay DD/BR #304484FLUSHING            NY,5.24,"23011250575 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
11/1/23,FS *CAPTURE ONE     877-327-8914        CA,20,"-T_TETOLQOI3AC9610BA69D3D7E 93101
FS *CAPTURE ONE
877-327-8914
CA
3AC9610BA69D3D7E 93101",FS *CAPTURE ONE     877-327-8914        CA,801 GDN ST 201,"SANTA BARBARA
CA",93101,UNITED STATES,3.20233E+17,Merchandise & Supplies-Internet Purchase
10/28/23,STOP & SHOP         GLENDALE            NY,88.05,"813308     57               11385
STOP & SHOP
GLENDALE
NY
57               11385",STOP & SHOP         GLENDALE            NY,8989 UN TPKE,"GLENDALE
NY",11385,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
10/28/23,STOP & SHOP         GLENDALE            NY,229.61,"800344     10               11385
STOP & SHOP
GLENDALE
NY
10               11385",STOP & SHOP         GLENDALE            NY,8989 UN TPKE,"GLENDALE
NY",11385,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
10/27/23,AplPay AUSTIN STREETQueens              NY,9.75,"jbf7zKRLAIM squareup.com/receipts
AplPay AUSTIN STREET PIZZA
Queens
NY
squareup.com/receipts",AplPay AUSTIN STREETQueens              NY,71 63 AUSTIN ST,"FOREST HILLS
NY",11375,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/27/23,AplPay RED PIPES CORFOREST HILLS        NY,6.9,"10900045    718-635-0245
AplPay RED PIPES CORP 0000
FOREST HILLS
NY
Description : FOOD/BEVERAGE Price : 0.00
718-635-0245",AplPay RED PIPES CORFOREST HILLS        NY,7160 AUSTIN ST,"FOREST HILLS
NY",11375,UNITED STATES,3.20233E+17,Restaurant-Restaurant
10/22/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23221159375 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/20/23,AplPay DD/BR #304484FLUSHING            NY,9.19,"23201200515 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/19/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23191131275 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/18/23,Amazon Prime                            WA,-15.89,"Amazon Prime
WA
",Amazon Prime                            WA,440 TERRY AVE NORTH,"SEATTLE
WA",98109,UNITED STATES,3.20233E+17,Merchandise & Supplies-Mail Order
10/18/23,Amazon Prime        Amazon.com          WA,15.89,"4O70EGSLBM6 SUBSCRIPTION
Amazon Prime
Amazon.com
WA
SUBSCRIPTION",Amazon Prime        Amazon.com          WA,440 TERRY AVE NORTH,"SEATTLE
WA",98109,UNITED STATES,3.20233E+17,Merchandise & Supplies-Mail Order
10/18/23,AplPay DD/BR #304484FLUSHING            NY,17.38,"23181131275 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/18/23,AplPay STOP & SHOP  GLENDALE            NY,92.16,"820603     245              11385
AplPay STOP & SHOP
GLENDALE
NY
245              11385",AplPay STOP & SHOP  GLENDALE            NY,8989 UN TPKE,"GLENDALE
NY",11385,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
10/17/23,AplPay DUNKIN #33822BROOKLYN            NY,7.94,"23170910093 860-779-2757
AplPay DUNKIN #338221 Q35 3382
BROOKLYN
NY
Description : FAST FOOD RESTAURAN Price : 0.00
860-779-2757",AplPay DUNKIN #33822BROOKLYN            NY,148 SMITH ST,"BROOKLYN
NY",11201,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/17/23,EL COYOTE FOREST HILFOREST HILLS        NY,23.4,"10156320231 7182680777
EL COYOTE FOREST HILLS 650000007932042
FOREST HILLS
NY
",EL COYOTE FOREST HILFOREST HILLS        NY,7009 AUSTIN ST,"FOREST HILLS
NY",11375-4799,UNITED STATES,3.20233E+17,Restaurant-Restaurant
10/17/23,JAPAN VILLAGE FOOD CBROOKLYN            NY,14.95,"73011003290 SUNRISEMART4@GMAIL.CO
SUNRISEMART4@GMAIL.COM
JAPAN VILLAGE FOOD COURT 7392900013004
BROOKLYN
NY
SUNRISEMART4@GMAIL.COM",JAPAN VILLAGE FOOD CBROOKLYN            NY,934 3RD AVE,"BROOKLYN
NY",11232,UNITED STATES,3.20233E+17,Restaurant-Restaurant
10/17/23,NYCDOT PARKING METERLONG ISLAND C       NY,3.25,"0000000000  212-839-3175
NYCDOT PARKING METERS 0037
LONG ISLAND C
NY
Description : PARKING FEES Price : 0.00
212-839-3175",NYCDOT PARKING METERLONG ISLAND C       NY,34-02 QUEENS BLVD,"LONG ISLAND CITY
NY",11101,UNITED STATES,3.20233E+17,Other-Government Services
10/16/23,AplPay COLSON PATISSBrooklyn            NY,17.6,"b5iQRCNyXLq squareup.com/receipts
AplPay COLSON PATISSERIE INDUSTRY CITY
Brooklyn
NY
squareup.com/receipts",AplPay COLSON PATISSBrooklyn            NY,253 36TH ST UNIT 21,"BROOKLYN
NY",11232,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
10/16/23,BIJANS 9254031172441BROOKLYN            NY,10.92,"73011003289 KIWICHR@AOL.COM
BIJANS 925403117244148
BROOKLYN
NY
KIWICHR@AOL.COM",BIJANS 9254031172441BROOKLYN            NY,81 HOYT ST,"BROOKLYN
NY",11201,UNITED STATES,3.20233E+17,Restaurant-Restaurant
10/16/23,SMITH GOURMET DELI CBROOKLYN            NY,17.47,"10156320231 9292502270
SMITH GOURMET DELI CORP 65000000944719
BROOKLYN
NY
Description : MISCL FOOD STORES Price : 0.1747
9292502270",SMITH GOURMET DELI CBROOKLYN            NY,126 SMITH ST,"BROOKLYN
NY",11201,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
10/16/23,TST* GRAND ARMY 0010BROOKLYN            NY,36.64,"21105173290 RESTAURANT
TST* GRAND ARMY 00109318
BROOKLYN
NY
RESTAURANT",TST* GRAND ARMY 0010BROOKLYN            NY,336 STATE ST,"BROOKLYN
NY",11217,UNITED STATES,3.20233E+17,Restaurant-Restaurant
10/15/23,AplPay DUNKIN #33045FOREST HILLS        NY,9.91,"23151156525 718-793-5785
AplPay DUNKIN #330459 Q35 3304
FOREST HILLS
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-793-5785",AplPay DUNKIN #33045FOREST HILLS        NY,9712 METROPOLITAN AVE,"FOREST HILLS
NY",11375-6626,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/15/23,FRAMBOISE PASTRY 000MIDDLE VILLAG       NY,17.1,"52900016    718-326-1579
FRAMBOISE PASTRY 0000
MIDDLE VILLAG
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-326-1579",FRAMBOISE PASTRY 000MIDDLE VILLAG       NY,"6459 DRY HBR RD
STE B","MIDDLE VILLAGE
NY",11379,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/14/23,AplPay DD/BR #304484FLUSHING            NY,15.94,"23141053045 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/14/23,MOBILE PAYMENT - THANK YOU,-150,"MOBILE PAYMENT - THANK YOU
",MOBILE PAYMENT - THANK YOU,,,,,3.20233E+17,
10/14/23,STEPHEN GRILL 0000  REGO PARK           NY,10,"54100005    718-898-0963
STEPHEN GRILL 0000
REGO PARK
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-898-0963",STEPHEN GRILL 0000  REGO PARK           NY,6125 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/14/23,TRADER JOE S #557 00REGO PARK           NY,52.7,"000173847746265993700
TRADER JOE S #557 000000557
REGO PARK
NY
6265993700",TRADER JOE S #557 00REGO PARK           NY,9030 METROPOLITAN AVE,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
10/13/23,ADJ PURCHASE FIN CHG,-0.38,"ADJ PURCHASE FIN CHG
",ADJ PURCHASE FIN CHG,,,,,3.20233E+17,Fees & Adjustments-Fees & Adjustments
10/13/23,Interest Charge on Pay Over Time Purchases,74.57,"Interest Charge on Pay Over Time Purchases
",Interest Charge on Pay Over Time Purchases,,,,,1.31014E+17,Fees & Adjustments-Fees & Adjustments
10/12/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23121255335 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/10/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23101116405 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/9/23,AplPay DD/BR #304484FLUSHING            NY,7.71,"23091746475 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/9/23,AplPay DD/BR #304484FLUSHING            NY,9.47,"23091253465 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/7/23,AplPay DD/BR #304484FLUSHING            NY,10.47,"23071231275 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/7/23,STOP & SHOP         GLENDALE            NY,56.33,"821648     93               11385
STOP & SHOP
GLENDALE
NY
93               11385",STOP & SHOP         GLENDALE            NY,8989 UN TPKE,"GLENDALE
NY",11385,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
10/4/23,AplPay DD/BR #304484FLUSHING            NY,11.07,"23041121065 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/3/23,AplPay DD/BR #304484FLUSHING            NY,5.24,"23031142235 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/2/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23021217415 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
10/1/23,ADAMS BAGELS & DELI REGO PARK           NY,16.98,"73011003274 AZWOODHAVEN@GMAIL.COM
ADAMS BAGELS & DELI 924600283041795
REGO PARK
NY
AZWOODHAVEN@GMAIL.COM",ADAMS BAGELS & DELI REGO PARK           NY,63 56 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
10/1/23,AplPay DD/BR #304484FLUSHING            NY,8.47,"23011159325 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
