Trans. date,Post date,Description,Amount,Category
8/14/23,8/14/23,DIRECTPAY MINIMUM PLUS PAYMENT,-85,Payments and Credits
8/14/23,8/14/23,INTERNET PAYMENT - THANK YOU,-35,Payments and Credits
8/15/23,8/15/23,AMZN MKTP US*TO3DO8UJ2 AMZN.COM/BILLWA5QDKM193MTV,39.68,Merchandise
8/15/23,8/15/23,AMZN MKTP US*TO68D7UF2 AMZN.COM/BILLWA3UHKCVWK3SY,29.39,Merchandise
8/16/23,8/16/23,AMAZON.COM*TO98A3HO1 AMZN.COM/BILLWA6BWEWFZ5XY3,87.07,Merchandise
8/17/23,8/17/23,AMAZON.COM*TQ5DB0ZC2 AMZN.COM/BILLWA26G7ROP1UT1,16.32,Merchandise
8/17/23,8/20/23,THE HOME DEPOT #1220 GLENDALE NY,49.71,Home Improvement
8/17/23,8/20/23,THE HOME DEPOT #1220 GLENDALE NY,95.98,Home Improvement
8/18/23,8/20/23,DD/BR #304484 Q35 FLUSHING NY,5.24,Restaurants
8/19/23,8/19/23,INTEREST CHARGE ON PROMOTIONAL PURCHASES,0.41,Interest
8/19/23,8/19/23,INTEREST CHARGE ON PURCHASES,7.3,Interest
8/19/23,8/20/23,THE HOME DEPOT #6120 MASPETH NY,772.58,Home Improvement
8/20/23,8/20/23,BP#2097541PARK SERVICE S FLUSHING NY,67.88,Gasoline
8/20/23,8/20/23,DUNKIN #306457 FLUSHING NY,5.65,Restaurants
8/20/23,8/22/23,THE HOME DEPOT #1220 GLENDALE NY,-554.94,Payments and Credits
8/21/23,8/21/23,SPI*NATIONAL GRID WALTHAM MA,146.68,Services
8/22/23,8/22/23,HOMEDEPOT.COM 800-430-3376 GA,281.99,Home Improvement
8/22/23,8/22/23,THE HOME DEPOT #1220 GLENDALE NY,110.58,Home Improvement
8/23/23,8/23/23,THE HOME DEPOT #1255 LONG ISLAND CNY,303.99,Home Improvement
8/24/23,8/24/23,CVS/PHARMACY #02975 MIDDLE VILLAGNY,37.46,Merchandise
8/26/23,8/26/23,DANTES PIZZA FOREST HILLS NY,51.92,Restaurants
8/26/23,8/26/23,GLEASON PAINTS WOODSIDE NY02602B,268.85,Home Improvement
8/26/23,8/26/23,NYCDOT PARKING METERS LONG ISLAND CNY,0.5,Services
8/26/23,8/26/23,THE HOME DEPOT #1220 GLENDALE NY,270.78,Home Improvement
8/27/23,8/27/23,"ADIDAS AMERICA, INC. CANTON MA",64,Merchandise
8/27/23,8/27/23,CP THE SHOPS AT ATLAS PA RIDGEWOOD NY,3,Services
8/27/23,8/27/23,DUNKIN #306457 FLUSHING NY,10.1,Restaurants
8/27/23,8/27/23,QUEENS BOTANICAL GARDE FLUSHING NY02774B,5,Services
8/27/23,8/27/23,THE HOME DEPOT #1220 GLENDALE NY,93.08,Home Improvement
8/27/23,8/29/23,THE HOME DEPOT #1220 GLENDALE NY,-221.49,Payments and Credits
8/28/23,8/28/23,THE HOME DEPOT #1220 GLENDALE NY,142.28,Home Improvement
8/28/23,8/28/23,THE HOME DEPOT #6120 MASPETH NY,314.25,Home Improvement
8/29/23,8/29/23,DD/BR #304484 Q35 FLUSHING NY,8.47,Restaurants
8/29/23,8/29/23,THE HOME DEPOT #1220 GLENDALE NY,184.03,Home Improvement
8/29/23,8/29/23,VITELLO S MARKETPLACE FOREST HILLS NY,16.93,Supermarkets
8/31/23,8/31/23,THE HOME DEPOT #1220 GLENDALE NY,65.64,Home Improvement
9/1/23,9/1/23,MICRO CENTER - QUEENS FLUSHING NY,115.38,Merchandise
9/2/23,9/2/23,STOP & SHOP 0539 GLENDALE NY00267B,57.89,Supermarkets
9/2/23,9/2/23,THE HOME DEPOT #1220 GLENDALE NY,111.1,Home Improvement
9/3/23,9/3/23,ADAMS BAGELS & DELI REGO PARK NY,19.25,Merchandise
9/3/23,9/3/23,AMZN MKTP US*TL8D761U0 AMZN.COM/BILLWA5XIV9BJDOKL,27.64,Merchandise
9/3/23,9/3/23,CP THE SHOPS AT ATLAS PA RIDGEWOOD NY,4,Services
9/3/23,9/3/23,GAS SALE REGO PARK NY,67.09,Gasoline
9/3/23,9/3/23,STOP & SHOP 0539 GLENDALE NY00392B,63.78,Supermarkets
9/3/23,9/3/23,ZSK*CE LSR BNCE GLEN P GLENDALE NY,42.67,Travel/ Entertainment
9/4/23,9/4/23,CVS/PHARMACY #02975 MIDDLE VILLAGNY,32.46,Merchandise
9/4/23,9/4/23,DD/BR #304484 Q35 FLUSHING NY,12.07,Restaurants
9/4/23,9/4/23,THE HOME DEPOT #1220 GLENDALE NY,29.91,Home Improvement
9/7/23,9/7/23,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-30.94,Awards and Rebate Credits
9/7/23,9/7/23,INTERNET PAYMENT - THANK YOU,-39.06,Payments and Credits
9/7/23,9/7/23,NYC WATER BOARD 718-595-7000 NY,173.77,Services
9/7/23,9/7/23,PAYMENTUS CORP 980-272-3788 NC,3.91,Merchandise
9/13/23,9/13/23,AMAZON.COM*TR2SW9YX2 AMZN.COM/BILLWA66UG7MZ4TJL,28.42,Merchandise
9/13/23,9/13/23,PAYUSATAX CONV. FEE NASHVILLE TN,13.51,Government Services
9/13/23,9/13/23,US TREASURY TAX PAYMENT NASHVILLE TN,730,Government Services
9/14/23,9/14/23,DIRECTPAY MINIMUM PLUS PAYMENT,-50,Payments and Credits
9/14/23,9/14/23,THE HOME DEPOT #1220 GLENDALE NY,46.71,Home Improvement
9/15/23,9/15/23,PRIME VIDEO *TR5311QV1 888-802-3080 WA51HUJJ7N3UN,19.99,Merchandise
9/15/23,9/15/23,PRIME VIDEO *TX3P59JZ2 888-802-3080 WA5YY5W2IL9FK,14.99,Merchandise
9/15/23,9/15/23,THE HOME DEPOT #1220 GLENDALE NY,99.86,Home Improvement
9/16/23,9/16/23,ANGIES MARKET FOREST HILLS NYAPPLE PAY ENDING IN 8799,22.24,Supermarkets
9/16/23,9/16/23,MCDONALD'S F3222 FOREST HILLS NY,22.93,Restaurants
9/16/23,9/16/23,THE HOME DEPOT #1220 GLENDALE NY,47.11,Home Improvement
9/17/23,9/17/23,THE HOME DEPOT #1220 GLENDALE NY,35.85,Home Improvement
9/17/23,9/17/23,THE HOME DEPOT #1220 GLENDALE NY,134.82,Home Improvement
9/17/23,9/17/23,WENDY'S #3115 REGO PARK NY,15.41,Restaurants
9/17/23,9/19/23,THE HOME DEPOT #1220 GLENDALE NY,-43.73,Payments and Credits
9/18/23,9/20/23,MTA*LIRR STATION TIX JAMAICA NY2309180109700000277314,13.5,Travel/ Entertainment
9/18/23,9/20/23,TST* LUCYS CANTINA ROY NEW YORK NY00128233013753419027AA,7.93,Restaurants
9/19/23,9/19/23,INTEREST CHARGE ON PROMOTIONAL PURCHASES,10.34,Interest
9/19/23,9/19/23,INTEREST CHARGE ON PURCHASES,1.07,Interest
9/21/23,9/21/23,THE HOME DEPOT #1220 800-654-0688 NY,175.55,Home Improvement
9/21/23,9/21/23,THE HOME DEPOT #1220 GLENDALE NY,9.22,Home Improvement
9/21/23,9/21/23,TRADER JOE S #557 REGO PARK NY,19.25,Supermarkets
9/21/23,9/24/23,THE HOME DEPOT #1220 GLENDALE NY,-79,Payments and Credits
9/23/23,9/23/23,NEW YORK HALL OF SCIENCE CORONA NY,15,Travel/ Entertainment
9/23/23,9/23/23,THE HOME DEPOT #6120 MASPETH NY,60.1,Home Improvement
9/24/23,9/24/23,THE HOME DEPOT #1220 GLENDALE NY,176,Home Improvement
9/25/23,9/25/23,THE HOME DEPOT #1220 GLENDALE NY,103.5,Home Improvement
9/26/23,9/26/23,THE HOME DEPOT #1220 GLENDALE NY,283.78,Home Improvement
9/27/23,9/27/23,THE HOME DEPOT #1220 GLENDALE NY,14.4,Home Improvement
9/27/23,9/27/23,THE HOME DEPOT #1220 GLENDALE NY,24.5,Home Improvement
9/27/23,9/27/23,WENDY'S #3115 REGO PARK NY,8.59,Restaurants
9/28/23,9/28/23,THE HOME DEPOT #1220 GLENDALE NY,248.76,Home Improvement
9/29/23,9/29/23,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-51.79,Awards and Rebate Credits
9/29/23,9/29/23,FSI*CONED BILL PAYMENT 800-752-6633 NY43634039178,270.8,Services
9/29/23,9/29/23,INTERNET PAYMENT - THANK YOU,-100,Payments and Credits
9/29/23,9/29/23,MCDONALD'S F15315 MASPETH NY,21.97,Restaurants
9/29/23,9/29/23,THE HOME DEPOT #6120 MASPETH NY,70.46,Home Improvement
10/5/23,10/5/23,THE HOME DEPOT #1220 800-654-0688 NY,14.12,Home Improvement
10/6/23,10/6/23,THE HOME DEPOT #1220 GLENDALE NY,23.99,Home Improvement
10/7/23,10/7/23,MCDONALD'S F15315 MASPETH NY,27.33,Restaurants
10/7/23,10/7/23,THE HOME DEPOT #6120 MASPETH NY,24.12,Home Improvement
10/9/23,10/9/23,CVS/PHARMACY #07881 FOREST HILLS NYAPPLE PAY ENDING IN 8799,16.79,Merchandise
10/9/23,10/9/23,GLEASON PAINTS WOODSIDE NYAPPLE PAY ENDING IN 879900927B,63.06,Home Improvement
10/14/23,10/14/23,DIRECTPAY MINIMUM PLUS PAYMENT,-50,Payments and Credits
10/14/23,10/14/23,THE HOME DEPOT #1220 GLENDALE NY,101.6,Home Improvement
10/15/23,10/15/23,THE HOME DEPOT #1220 GLENDALE NY,223.91,Home Improvement
10/19/23,10/19/23,INTEREST CHARGE ON PROMOTIONAL PURCHASES,16.68,Interest
10/22/23,10/22/23,THE HOME DEPOT #1220 GLENDALE NY,74.58,Home Improvement
10/24/23,10/24/23,EXXONMOBIL REGO PARK NY,67.54,Gasoline
10/25/23,10/25/23,RITE AID 04866 REGO PARK NY,15,Merchandise
10/27/23,10/27/23,CARVEL 1426 FOREST HILLS NY,44.5,Restaurants
10/28/23,10/28/23,DUNKIN #330459 Q35 FOREST HILLS NY,10.91,Restaurants
10/29/23,10/29/23,THE HOME DEPOT #1220 GLENDALE NY,158.42,Home Improvement
10/30/23,10/30/23,DATACAMP INC. DATACAMP.COM NY,153.42,Services
10/30/23,10/30/23,FSI*CONED BILL PAYMENT 800-752-6633 NY46580214192,301.53,Services
10/31/23,10/31/23,OBA GRILL FOREST HILLS NY,10.77,Restaurants
11/2/23,11/2/23,THE HOME DEPOT #1220 GLENDALE NY,122.85,Home Improvement
11/3/23,11/3/23,THE HOME DEPOT #1220 GLENDALE NY,21.71,Home Improvement
11/3/23,11/3/23,THE HOME DEPOT #1220 GLENDALE NY,102.7,Home Improvement
11/4/23,11/4/23,THE HOME DEPOT #1220 GLENDALE NY,70.74,Home Improvement
11/5/23,11/5/23,THE HOME DEPOT #1220 GLENDALE NY,41.82,Home Improvement
11/6/23,11/6/23,PAYUSATAX CONVENIENCE FE NASHVILLE TN,16.65,Government Services
11/6/23,11/6/23,US TREASURY TAX PAYMENT NASHVILLE TN,900,Government Services
11/7/23,11/7/23,SIMPLISAFE 888-957-4675 MAP-20095520,32.65,Services
11/7/23,11/7/23,T J MAXX # 1148 FLUSHING NYAPPLE PAY ENDING IN 8799,52.24,Merchandise
11/10/23,11/10/23,THE HOME DEPOT #1220 GLENDALE NY,90.75,Home Improvement
11/11/23,11/11/23,AMZN MKTP US*F57FG0MX3 AMZN.COM/BILLWA27LQOMD6XYQ,40.79,Merchandise
11/11/23,11/11/23,PRIME BATHTUB & TILES 9299285859 NY,358.2,Merchandise
11/12/23,11/12/23,THE HOME DEPOT #1220 GLENDALE NY,309.19,Home Improvement
11/14/23,11/14/23,DIRECTPAY MINIMUM PLUS PAYMENT,-202,Payments and Credits
11/14/23,11/14/23,THE HOME DEPOT #1220 GLENDALE NY,18.56,Home Improvement
11/14/23,11/16/23,THE HOME DEPOT #1220 GLENDALE NY,-97.93,Payments and Credits
11/16/23,11/16/23,AMZN MKTP US*WP7886GU3 AMZN.COM/BILLWA6AUGI0QW9P5,28.25,Merchandise
11/16/23,11/16/23,SPI*NATIONAL GRID WALTHAM MA,304.46,Services
11/17/23,11/17/23,AMZN MKTP US*HQ3T031M3 AMZN.COM/BILLWA5VYWPTIL33L,96.72,Merchandise
11/18/23,11/18/23,SQ *CHIP CITY - FOREST QUEENS NYAPPLE PAY ENDING IN 87990002305843018827045565,11.34,Merchandise
11/18/23,11/20/23,THE HOME DEPOT #1220 GLENDALE NY,106.7,Home Improvement
11/19/23,11/19/23,INTEREST CHARGE ON PROMOTIONAL PURCHASES,22.34,Interest
11/20/23,11/20/23,THE HOME DEPOT #1220 GLENDALE NY,15.45,Home Improvement
11/21/23,11/21/23,FRAMBOISE PASTRY MIDDLE VILLAGNY,46.75,Restaurants
11/21/23,11/21/23,THE HOME DEPOT #1220 GLENDALE NY,45.83,Home Improvement
11/22/23,11/22/23,LABCORP8008456167 800-845-6167 NC002532869578,30.51,Medical Services
11/22/23,11/22/23,PRESCHOOL SMILES 877-381-8276 MN,54.96,Services
11/22/23,11/22/23,RITE AID 04866 REGO PARK NY,6.99,Merchandise
11/22/23,11/22/23,RITE AID 04866 REGO PARK NY,15,Merchandise
11/22/23,11/22/23,TACO BELL #036317 REGO PARK NY,31.18,Restaurants
11/22/23,11/22/23,THE HOME DEPOT #1220 GLENDALE NY,33.21,Home Improvement
11/23/23,11/23/23,EXXONMOBIL MASPETH NY,51.38,Gasoline
11/24/23,11/24/23,THE HOME DEPOT #1220 GLENDALE NY,168.2,Home Improvement
11/25/23,11/25/23,ANGIES MARKET FOREST HILLS NY,8.97,Supermarkets
11/25/23,11/25/23,IKEA LONG ISLAND HICKSVILLE NY,127.74,Merchandise
11/29/23,11/29/23,WWW.HYDRATEIVBAR.COM 3852336964 CO,117.5,Services
11/30/23,11/30/23,WALMART STORE 02223 WESTMINSTER CO,58.12,Merchandise
12/2/23,12/2/23,KING SOOPERS #0062 WESTMINSTER CO,20.75,Supermarkets
12/2/23,12/2/23,LONG PEAK DENVER CO,13.03,Merchandise
12/2/23,12/2/23,ROOT DOWN DENVER CO,40.4,Restaurants
12/2/23,12/2/23,THE HOME DEPOT #1517 WESTMINSTER CO,13.5,Home Improvement
12/3/23,12/3/23,AT HOME STORE 276 REGO PARK NY,354.83,Merchandise
12/4/23,12/4/23,WALGREENS #1487 FOREST HILLS NY,18.79,Merchandise
12/7/23,12/7/23,NYC WATER BOARD 718-595-7000 NY,222.93,Services
12/7/23,12/7/23,PAYMENTUS CORP 980-272-3788 NC,5.02,Merchandise
12/8/23,12/8/23,THE HOME DEPOT #1220 GLENDALE NY,99.42,Home Improvement
12/9/23,12/9/23,THE HOME DEPOT #1220 GLENDALE NY,99.7,Home Improvement
12/9/23,12/9/23,THE HOME DEPOT #1220 GLENDALE NY,170.88,Home Improvement
12/10/23,12/10/23,THE HOME DEPOT #1220 GLENDALE NY,84.42,Home Improvement
12/10/23,12/12/23,THE HOME DEPOT #1220 GLENDALE NY,-49.35,Payments and Credits
12/12/23,12/12/23,INTERNET PAYMENT - THANK YOU,-586.46,Payments and Credits
12/12/23,12/12/23,THE HOME DEPOT #1220 GLENDALE NY,28.23,Home Improvement
12/13/23,12/13/23,FSI*CONED BILL PAYMENT 800-752-6633 NY45247201193,371.46,Services
12/14/23,12/14/23,DIRECTPAY MINIMUM PLUS PAYMENT,-50,Payments and Credits
12/15/23,12/15/23,AMAZON.COM*IW9IG13T3 AMZN.COM/BILLWA3B2WBQKDHLU,10.8,Merchandise
12/15/23,12/15/23,AMZN MKTP US*0O41J1363 AMZN.COM/BILLWA1MR1WXU7CHE,193.76,Merchandise
12/15/23,12/15/23,AMZN MKTP US*CO5E53G73 AMZN.COM/BILLWA5ZDKUP6XVPP,29.39,Merchandise
12/15/23,12/15/23,THE HOME DEPOT #1220 GLENDALE NY,38.05,Home Improvement
12/15/23,12/17/23,THE HOME DEPOT #1220 GLENDALE NY,-26.77,Payments and Credits
12/17/23,12/17/23,PRIME VIDEO *TM8DI1610 888-802-3080 WA3XIG1VHHNUK,19.99,Merchandise
12/19/23,12/19/23,INTEREST CHARGE ON PROMOTIONAL PURCHASES,28.74,Interest
12/20/23,12/20/23,THE HOME DEPOT #1220 GLENDALE NY,45.93,Home Improvement
12/21/23,12/21/23,AMZN MKTP US*0C04O9NN3 AMZN.COM/BILLWA2P8AM6RT895,18.5,Merchandise
12/21/23,12/21/23,AMZN MKTP US*3Y9DW6UC3 AMZN.COM/BILLWA2IH16SK8L9E,75.84,Merchandise
12/21/23,12/21/23,STOP & SHOP 0539 GLENDALE NY02140P,109.98,Supermarkets
12/23/23,12/23/23,GAS SALE REGO PARK NY,58.92,Gasoline
12/24/23,12/24/23,MORTON WILLIAMS - GRAY NEW YORK NYAPPLE PAY ENDING IN 0229,25.63,Supermarkets
12/24/23,12/24/23,MORTON WILLIAMS - GRAY NEW YORK NYAPPLE PAY ENDING IN 0229,27.8,Supermarkets
12/25/23,12/25/23,ADAMS BAGELS AND DELI REGO PARK NYAPPLE PAY ENDING IN 0229,7.03,Restaurants
12/25/23,12/25/23,REGO MARKET PLACE REGO PARK NYAPPLE PAY ENDING IN 0229,22.86,Supermarkets
12/26/23,12/26/23,THE HOME DEPOT #1220 GLENDALE NY,46.4,Home Improvement
12/27/23,12/27/23,SPA CASTLE COLLEGE POINTNY,69.68,Services
12/29/23,12/29/23,SQ *THE LOCAL EATERY & NEW YORK NY0002305843019056649773,25.31,Restaurants
12/29/23,12/29/23,THE HOME DEPOT #1220 GLENDALE NY,88.81,Home Improvement
12/30/23,12/30/23,STOP & SHOP 0539 GLENDALE NYAPPLE PAY ENDING IN 022903086P,12.5,Supermarkets
12/30/23,12/30/23,STOP & SHOP 0539 GLENDALE NY03030P,60.21,Supermarkets
12/30/23,12/30/23,THE HOME DEPOT #1220 GLENDALE NY,36.78,Home Improvement
12/31/23,12/31/23,THE HOME DEPOT #1220 GLENDALE NY,105.72,Home Improvement
1/19/24,1/19/24,INTEREST CHARGE ON PROMOTIONAL PURCHASES,33.98,Interest
